Advertiser_ID,Advertiser_Name,Public_IDs_List,Regions,Elections,Total_Creatives,Spend_USD,Spend_EUR,Spend_INR,Spend_BGN,Spend_HRK,Spend_CZK,Spend_DKK,Spend_HUF,Spend_PLN,Spend_RON,Spend_SEK,Spend_GBP
AR100207290732249088,FRIENDS OF SUZY GLOWIAK,EIN ID 46-3931666,US,US-Federal,1,100,100,8750,225,800,3000,1000,37500,500,525,1500,100
AR100838960162406400,SECURING LOUISIANAS FUTURE,EIN ID 83-2750304,US,US-Federal,48,48200,42450,3419000,83900,318700,1103000,320000,13725000,184200,203925,447000,36650
AR100996740080992256,FreedomWorks Inc,EIN ID 52-1349353,US,US-Federal,157,41600,36650,2952250,72450,275200,953000,276500,11850000,159000,176100,386250,31650
AR101148472685625344,DOUG WARDLOW FOR ATTORNEY GENERAL,EIN ID 82-0758730,US,US-Federal,8,7600,6650,537750,13200,50100,174000,50500,2160000,29000,32100,70500,5750
AR101183107301900288,Fianna Fáil,,"EU, GB, IE",EU-Parliament,75,5600,4950,399750,9800,37300,129000,37500,1605000,21500,23850,52500,4300
AR101369474522808320,CITIZENS FOR A STRONGER NEW JERSEY,FEC ID C00676700,US,US-Federal,11,1200,1050,85250,2100,8000,28000,8000,345000,4600,5100,11250,900
AR101427748639080448,FINANCE COMMITTEE FOR THOMAS OH,FEC ID C00669507,US,US-Federal,4,1700,1550,123750,3050,11500,40000,11500,495000,6700,7350,16500,1350
AR102122639987834880,MCCONNELL SENATE COMMITTEE,FEC ID C00193342,US,US-Federal,17,4500,3950,320250,7850,29900,103000,30000,1282500,17300,19125,42000,3450
AR103928587836456960,PACIFIC CAMPAIGN HOUSE,EIN ID 82-5390497,US,US-Federal,12,500,400,33750,825,3200,11000,3000,135000,1800,2025,4500,350
AR104374439801520128,KAMALA HARRIS FOR SENATE,FEC ID C00571919,US,US-Federal,28,6400,5600,450250,11050,42000,145000,42000,1807500,24300,26850,58500,4850
AR104766140818915328,Vänsterpartiet,,"EU, SE",EU-Parliament,14,15200,13350,1075750,26400,100300,347000,100500,4320000,58000,64200,141000,11550
AR105347232714194944,MARK DESNOYER,,US,US-Federal,4,0,0,0,0,0,0,0,0,0,0,0,0
AR105500339708362752,"DONALD J. TRUMP FOR PRESIDENT, INC.",FEC ID C00580100,US,US-Federal,3425,1314100,1156400,93180250,2286475,8686000,30066000,8725500,374062500,5019700,5558475,12181500,998700
AR109214489986990080,CORY BOOKER FOR SENATE,FEC ID C00540500,US,US-Federal,9,400,350,30000,725,2800,10000,3000,120000,1600,1800,3750,300
AR10924747533582336,HELLER FOR SENATE,FEC ID C00494229,US,US-Federal,571,277500,244200,19676000,482825,1834100,6349000,1842500,78990000,1060000,1173750,2572500,210900
AR109486619114864640,AKULA SATYANARAYANA,,IN,IN-General,2,400,350,27750,675,2600,9000,2500,112500,1500,1650,3750,300
AR109649346835775488,DANA OUTLAW FOR CONGRESS,FEC ID C00698787,US,US-Federal,14,1600,1400,113750,2800,10600,37000,10500,457500,6100,6825,15000,1200
AR109939068149694464,CENTER FORWARD,FEC ID C90012998,US,US-Federal,4,6400,5650,456750,11200,42600,147000,43000,1837500,24600,27225,60000,4900
AR110003939335733248,"45COMMITTEE, INC.",EIN ID 47-3803487,US,US-Federal,1,0,0,1500,50,200,1000,0,7500,100,75,0,0
AR110277717731049472,LEAGUE OF CONSERVATION VOTERS ACTION FUND,FEC ID C00252940,US,US-Federal,10,96500,84900,6843000,167925,637900,2208000,641000,27472500,368600,408225,894750,73350
AR111332149382086656,DELGADO FOR CONGRESS,FEC ID C00633859,US,US-Federal,28,12800,11300,910500,22350,84900,294000,85500,3652500,49100,54300,119250,9750
AR111703784312274944,NEVADA STATE DEMOCRATIC PARTY,FEC ID C00208991,US,US-Federal,34,0,50,3250,75,300,1000,500,15000,200,225,750,50
AR111802190602960896,"W.R.P.R., s.r.o.",,"EU, SK",EU-Parliament,1,300,300,23750,575,2200,8000,2000,97500,1300,1425,3000,250
AR112255739149418496,MATT ROSENDALE FOR MONTANA,FEC ID C00548289,US,US-Federal,23,12400,10900,877250,21525,81800,283000,82000,3517500,47300,52350,114750,9400
AR112555630945894400,DR MANNY FOR US SENATE,EIN ID 84-1927181,US,US-Federal,33,500,400,33250,825,3100,11000,3000,135000,1800,1950,4500,350
AR112672728934252544,Alternative für Deutschland (AfD) - Kreisverband Köln,,"DE, EU",EU-Parliament,3,2800,2500,199500,4900,18600,64000,18500,802500,10800,11925,26250,2150
AR1128098930098176,PATRICK MURPHY FOR CONGRESS,FEC ID C00411991,US,US-Federal,13,6800,6000,481750,11825,44900,155000,45000,1935000,26000,28725,63000,5150
AR113027046556303360,Janika Takatalo,,"EU, FI",EU-Parliament,16,1100,1000,79250,1950,7400,26000,7500,315000,4300,4725,10500,850
AR113035292893511680,"YES ON E, SAN FRANCISCANS FOR THE ARTS",EIN ID 81-2822893,US,US-Federal,4,3200,2800,226750,5575,21100,73000,21000,907500,12200,13500,30000,2450
AR113155139660939264,GROHMAN FOR CONGRESS,FEC ID C00676528,US,US-Federal,10,9400,8300,666750,16375,62200,215000,62500,2677500,35900,39750,87000,7150
AR113425619521372160,COMMITTEE TO ELECT RICHARD OJEDA,FEC ID C00639989,US,US-Federal,15,1100,950,77750,1900,7200,25000,7500,315000,4200,4650,10500,850
AR114507538963103744,KUSTOFF FOR CONGRESS,FEC ID C00614826,US,US-Federal,4,4900,4350,349750,8575,32600,113000,33000,1402500,18800,20850,45750,3750
AR114793686864232448,Progresívne Slovensko,,"AT, EU, SK",EU-Parliament,128,5000,4400,353750,8675,33000,114000,33000,1417500,19100,21075,46500,3800
AR116025139887341568,Partidul Pro Romania,,"EU, GB, RO",EU-Parliament,225,33100,29100,2345750,57550,218700,757000,219500,9420000,126400,139950,306750,25150
AR116759338776788992,GINA ORTIZ JONES FOR CONGRESS,FEC ID C00652297,US,US-Federal,55,10100,8850,714250,17525,66600,230000,67000,2865000,38500,42600,93000,7650
AR117739278515044352,BARCELONA PEL CANVI - CIUTADANS,,"ES, EU",EU-Parliament,9,2600,2250,181000,4450,16900,58000,17000,727500,9800,10800,24000,1950
AR118173585608015872,Aalborg Venstrevælger forening,,"DK, EU",EU-Parliament,40,2300,2050,165750,4075,15500,53000,15500,667500,8900,9900,21750,1800
AR118595523195174912,ROHRABACHER FOR CONGRESS,FEC ID C00224691,US,US-Federal,2,44800,39450,3178750,78000,296300,1026000,297500,12757500,171200,189600,415500,34050
AR119011138590474240,WICKER FOR SENATE,FEC ID C00443218,US,US-Federal,316,20400,18000,1449250,35575,135100,468000,135500,5820000,78100,86475,189750,15550
AR119350612805550080,MATT COX FOR NC SENATE,EIN ID 83-3855386,US,US-Federal,1,0,50,2500,50,200,1000,0,7500,100,150,0,50
AR119554297334595584,CAM CAVASSO 4 CONGRESS,FEC ID C00680876,US,US-Federal,2,400,350,27500,675,2600,9000,2500,112500,1500,1650,3750,300
AR120137038497316864,BOB CASEY FOR SENATE INC,FEC ID C00431056,US,US-Federal,84,396100,348600,28091000,689300,2618600,9064000,2630500,112770000,1513300,1675725,3672000,301050
AR120181018962427904,CHRISSY HOULAHAN FOR CONGRESS,FEC ID C00637371,US,US-Federal,89,2000,1750,139500,3425,13000,45000,13000,562500,7500,8325,18000,1500
AR12050647440424960,ANGIE CRAIG FOR CONGRESS,FEC ID C00575209,US,US-Federal,31,35500,31250,2519000,61800,234800,813000,236000,10110000,135700,150300,329250,27000
AR120710983567015936,Marinda Kimmel for House,EIN ID 82-1523341,US,US-Federal,1,0,0,750,25,100,0,0,0,0,75,0,0
AR120814887415840768,THOM TILLIS COMMITTEE,EIN ID 46-2864060,US,US-Federal,4,3000,2600,209750,5150,19500,68000,19500,840000,11300,12525,27750,2250
AR120847323008860160,DEDICATEDEMAILS.COM,EIN ID 45-4445561,US,US-Federal,2516,2229500,1961950,158091500,3879275,14736800,51010000,14803500,634642500,8516600,9430650,20667000,1694400
AR12094627905536000,AMMAR CAMPA FOR CONGRESS,FEC ID C00635888,US,US-Federal,6,26100,22950,1848500,45350,172300,596000,173000,7417500,99600,110250,241500,19800
AR121262938404159488,GREAT AMERICA PAC,FEC ID C00608489,US,US-Federal,358,13600,11950,964750,23675,89900,311000,90500,3870000,52000,57525,126000,10350
AR122780539328397312,Ioannis Vardakastanis,,"EU, GR",EU-Parliament,1,300,250,20750,500,1900,7000,2000,82500,1100,1200,3000,200
AR123635684496900096,"GOP SCOUTS, INC.",EIN ID 83-1486714,US,US-Federal,29,1600,1400,114500,2800,10700,37000,10500,457500,6200,6825,15000,1250
AR124593908880506880,Vapaus ry,,"EU, FI",EU-Parliament,24,300,250,19250,475,1800,6000,2000,75000,1000,1125,2250,200
AR124792370729320448,American Leadership Committee,EIN ID 83-1273004,US,US-Federal,21,7200,6300,508000,12475,47400,164000,47500,2040000,27400,30300,66750,5450
AR12498698428743680,NÁRODNÁ KOALÍCIA,,"EU, SK",EU-Parliament,8,3400,3000,241750,5925,22500,78000,22500,967500,13000,14400,31500,2600
AR126746477769785344,"Arco Estrategias de Marketing, S.L.",,"ES, EU",EU-Parliament,63,2500,2150,174000,4275,16200,56000,16500,697500,9400,10350,22500,1850
AR127078805159280640,Indian PAC Consulting Private Limited,,IN,IN-General,1,0,0,1750,50,200,1000,0,7500,100,75,0,0
AR127323446496460800,FRIENDS OF GEORGE FLINN,FEC ID C00608406,US,US-Federal,3,2700,2350,189250,4650,17600,61000,17500,757500,10200,11250,24750,2050
AR128018337845215232,DNC SERVICES CORP./DEM. NAT'L COMMITTEE,FEC ID C00010603,US,US-Federal,459,144200,126950,10228500,251000,953500,3300000,958000,41062500,551000,610200,1337250,109650
AR128025209792888832,Evropa společně,,"CZ, EU",EU-Parliament,8,1900,1650,132000,3250,12300,43000,12500,532500,7100,7875,17250,1400
AR128797891589308416,FUTURE45,FEC ID C00574533,US,US-Federal,2,17600,15550,1251250,30700,116600,404000,117000,5025000,67400,74625,163500,13400
AR129592288740376576,Venstre på Østerbro,,"DK, EU",EU-Parliament,47,5500,4850,392500,9625,36600,127000,37000,1575000,21100,23400,51000,4200
