Country,Country_Subdivision_Primary,Country_Subdivision_Secondary,Spend_USD,Spend_EUR,Spend_INR,Spend_BGN,Spend_HRK,Spend_CZK,Spend_DKK,Spend_HUF,Spend_PLN,Spend_RON,Spend_SEK,Spend_GBP
AT,,,344300,303000,24415000,599100,2275900,7878000,2286000,98010000,1315300,1456425,3192000,261700
BE,,,446000,392450,31625500,776025,2948000,10204000,2961500,126960000,1703700,1886550,4134000,338950
BG,,,4400,3850,308500,7575,28800,100000,29000,1237500,16600,18375,40500,3300
CY,,,6800,5950,480500,11800,44800,155000,45000,1927500,25900,28650,63000,5150
CZ,,,51700,45550,3669000,90025,342000,1184000,343500,14730000,197700,218850,480000,39300
DE,,,708600,623550,50244000,1232900,4683600,16212000,4705000,201697500,2706700,2997225,6568500,538500
DK,,,695700,612200,49329250,1210450,4598300,15917000,4619000,198030000,2657400,2942625,6448500,528700
EE,,,22900,20100,1621000,39775,151100,523000,152000,6510000,87300,96675,212250,17350
ES,,,553100,486700,39217000,962325,3655700,12654000,3672500,157432500,2112700,2339400,5127000,420300
FI,,,232400,204500,16478000,404350,1536000,5317000,1543000,66150000,887700,982950,2154000,176600
FR,,,9900,8650,699000,17150,65200,226000,65500,2805000,37700,41700,91500,7500
GB,,,25800,22700,1830000,44900,170600,590000,171500,7350000,98600,109200,239250,19600
GR,,,239100,210400,16953750,416025,1580400,5470000,1587500,68062500,913300,1011375,2216250,181700
HR,,,36200,31850,2568000,63025,239400,829000,240500,10312500,138300,153225,336000,27500
HU,,,27800,24500,1972750,48400,183900,637000,184500,7920000,106300,117675,258000,21150
IE,,,12100,10600,856250,21000,79800,276000,80000,3435000,46100,51075,111750,9200
IN,IN-AN,,100,50,6000,150,600,2000,500,22500,300,375,750,50
IN,IN-AP,,742100,653050,52623500,1291275,4905400,16980000,4927500,211252500,2834900,3139125,6879750,564000
IN,IN-AR,,100,100,7000,175,600,2000,500,30000,400,450,750,50
IN,IN-AS,,15500,13650,1098500,26950,102400,354000,103000,4410000,59200,65550,143250,11750
IN,IN-BR,,230900,203200,16374250,401800,1526400,5283000,1533500,65730000,882100,976800,2140500,175500
IN,IN-CH,,122000,107350,8648250,212200,806200,2790000,810000,34717500,465900,515925,1130250,92700
IN,IN-CT,,11300,9950,802000,19675,74800,259000,75000,3217500,43200,47850,105000,8600
IN,IN-DD,,300,200,17750,425,1700,6000,1500,75000,1000,1050,2250,200
IN,IN-DL,,399700,351750,28343750,695500,2642100,9145000,2654000,113782500,1526900,1690800,3705000,303800
IN,IN-DN,,300,250,18750,450,1700,6000,1500,75000,1000,1125,2250,200
IN,IN-GA,,1100,950,77750,1900,7300,25000,7500,315000,4200,4650,10500,850
IN,IN-GJ,,108500,95500,7694750,188825,717300,2483000,720500,30892500,414500,459000,1005750,82450
IN,IN-HP,,45300,39850,3211500,78800,299400,1036000,300500,12892500,173000,191550,420000,34400
IN,IN-HR,,148400,130600,10524000,258225,981000,3396000,985500,42247500,566900,627750,1375500,112800
IN,IN-JH,,19500,17150,1383250,33950,128900,446000,129500,5550000,74500,82500,180750,14800
IN,IN-JK,,11600,10200,822500,20175,76700,265000,77000,3300000,44300,49050,107250,8800
IN,IN-KA,,44800,39400,3175750,77925,296000,1025000,297500,12750000,171100,189450,415500,34050
IN,IN-KL,,27900,24600,1980750,48600,184600,639000,185500,7950000,106700,118125,258750,21250
IN,IN-LD,,100,50,3500,100,300,1000,500,15000,200,225,750,50
IN,IN-MH,,155900,137150,11053000,271225,1030300,3566000,1035000,44370000,595400,659325,1445250,118450
